allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,pushPings,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,matchID
0,3,10,0,1,0,0,22685,18,82,Mordekaiser,0,1,2,3220,25284,3220,78747,0,8,0,1,0,True,0,0,False,False,False,False,False,False,0,18703,16600,0,BOTTOM,1,1,1,4633,3157,3047,3116,3075,4637,3363,19,5,14,BOTTOM,0,3,2,391,231858,37808,27211,0,16,0,0,1,0,0,4,4,0,20866,4759,31520,3542,0,0,CARRY,0,172,95,76,11,9,3,8,6,468,theasianbanana32,False,100,BOTTOM,36,2434,266586,48696,0,60891,24289,0,224,657,279,1,0,13862,6128,2159,1,3,6,0,0,11,0,0,0,True,NA1_4573383673
0,0,32,0,0,0,2,19171,18,22,Ashe,0,0,4,1899,14636,1899,7884,0,9,0,0,2,True,2,5,False,False,False,False,False,False,0,14351,12525,0,UTILITY,0,0,1,3853,3179,3042,3158,4005,6609,3364,24,1,6,BOTTOM,265,2,1,671,20813,13900,15214,0,10,0,0,1,0,1,1,5,0,54439,22537,9421,4088,0,0,SUPPORT,0,10,154,43,40,8,14,6,4,289,Xytsu,False,100,UTILITY,117,2434,77709,38873,0,24891,2949,0,25,618,279,1,0,2456,2434,254,0,3,6,0,0,96,1,10,0,True,NA1_4573383673
0,9,8,0,0,0,0,24799,18,83,Yorick,0,10,10,9355,27731,9355,84190,0,12,0,0,0,True,7,0,False,False,False,False,False,False,0,19100,18350,0,TOP,1,1,5,6632,3047,6694,3181,6333,3075,3364,30,2,7,TOP,0,2,1,320,61956,14304,16018,0,13,0,1,0,0,0,11,6,0,233711,26192,33382,5642,0,0,SOLO,0,209,26,83,12,10,14,4,12,202,SupaSUS,False,200,TOP,25,2434,307371,45723,0,57416,15265,0,291,583,522,1,0,11703,5226,8015,5,5,11,0,0,27,4,1,0,False,NA1_4573383673
0,6,11,0,0,0,0,19142,18,19,Warwick,0,16,1,0,8124,0,78753,0,15,0,0,1,True,0,0,False,True,False,False,False,False,10,14886,13700,0,JUNGLE,0,0,5,3068,3074,3047,3153,3075,0,3364,30,1,10,JUNGLE,0,3,1,522,63278,13364,15368,0,133,0,1,0,0,0,13,7,0,122618,11555,41401,5663,0,0,NONE,0,107,12,65,17,7,4,26,11,599,Vhaz,False,200,JUNGLE,41,2434,225625,29877,0,59189,24894,0,44,373,596,1,0,39727,4957,2419,0,0,11,0,0,14,0,3,0,False,NA1_4573383673
0,0,13,0,0,0,0,21392,18,8,Vladimir,0,9,4,2025,10881,2025,42726,0,9,0,0,0,True,1,3,True,False,False,False,False,False,0,15665,15000,0,MIDDLE,0,0,5,3157,3135,3020,4645,1058,4636,3340,27,2,9,MIDDLE,0,2,1,641,231237,38879,17614,0,16,0,1,0,0,0,6,8,0,11462,795,36215,5689,0,0,SOLO,0,307,29,160,16,11,6,7,4,272,ƒlaco,False,200,MIDDLE,8,2434,246056,42586,0,55555,48758,0,207,159,389,1,0,3356,2911,1725,0,0,11,0,0,36,2,3,0,False,NA1_4573383673
0,0,12,0,0,0,0,17769,17,202,Jhin,0,8,4,2106,5154,2106,23994,0,13,0,1,0,True,0,0,False,False,False,False,False,False,0,15048,14425,0,BOTTOM,0,0,5,3042,3036,3142,6692,3009,1038,3340,26,2,7,BOTTOM,1907,2,2,536,20818,1546,14605,0,4,0,1,0,0,0,0,9,0,178120,26276,22151,665,0,0,CARRY,0,110,54,72,21,6,7,5,4,374,AlbedoMilimRei,False,200,BOTTOM,42,2434,202331,29306,0,37492,7989,538,211,297,498,2,0,3392,1482,735,0,1,11,0,0,8,1,1,0,False,NA1_4573383673
0,0,13,0,0,0,0,18140,17,50,Swain,0,0,5,1162,3243,1162,42049,0,12,0,3,0,True,2,1,False,False,False,False,False,False,8,13740,11385,0,UTILITY,0,0,5,3157,3116,3853,6653,1052,3020,3364,24,4,9,BOTTOM,0,3,2,552,105539,31002,17571,0,0,0,1,0,0,0,4,10,0,6079,1559,33191,5414,0,0,SUPPORT,0,122,61,110,26,6,4,9,14,218,Joe Bidens Bidet,False,200,UTILITY,67,2434,117417,38314,0,51687,12280,0,77,437,387,1,0,5798,5752,924,0,0,11,0,0,84,2,12,0,False,NA1_4573383673
0,0,3,0,0,0,0,8864,12,24,Jax,0,0,3,3260,3628,3260,20052,0,7,0,0,0,True,1,0,False,False,False,False,False,True,0,7591,6775,0,TOP,0,0,0,6632,3047,1037,1042,1055,1053,3340,18,1,4,TOP,0,2,1,440,25276,7335,3401,0,4,0,0,0,0,0,0,1,0,46186,10016,16723,4812,0,0,SOLO,0,38,73,40,8,3,4,5,14,547,Rumblefish5,False,100,TOP,16,1315,74933,18327,0,21003,3301,0,105,50,187,1,0,3471,976,877,1,1,3,0,0,5,0,0,0,False,NA1_4573351451
0,2,1,0,0,0,0,7799,11,141,Kayn,2,3,1,148,11465,148,10053,0,8,0,0,0,True,1,0,False,False,False,False,False,True,0,7756,7650,0,JUNGLE,0,0,0,1102,3070,6693,3158,3142,0,3340,15,1,4,JUNGLE,0,2,1,448,825,825,8642,0,76,0,0,0,1,0,7,2,0,73994,8810,13348,939,0,0,NONE,0,70,41,23,9,3,4,13,11,104,ZKryptZ,False,100,JUNGLE,5,1315,93024,10203,0,22390,6198,0,14,125,199,1,0,18205,567,399,1,1,3,0,0,14,0,0,0,False,NA1_4573351451
2,2,3,0,0,0,0,10868,13,90,Malzahar,0,0,3,3048,3395,3048,6276,0,5,0,0,0,True,4,0,False,False,False,False,False,True,0,8320,6660,0,MIDDLE,0,0,0,3070,3020,1082,6653,1052,1026,3363,17,0,3,MIDDLE,0,0,1,469,80391,10938,7299,0,0,0,0,0,0,0,3,3,0,5517,661,3311,4018,0,0,SOLO,0,37,63,81,8,2,4,3,14,58,ClansyD,False,100,MIDDLE,29,1315,86483,12173,0,10991,345,0,160,146,143,1,0,574,574,379,0,0,3,0,0,20,1,1,0,False,NA1_4573351451
