allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,pushPings,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,matchID
1,20,4,0,0,0,1,14126,15,82,Mordekaiser,0,8,5,841,14368,841,36872,0,5,2,0,1,True,6,1,False,False,False,False,False,False,24,13713,12325,0,JUNGLE,0,0,3,3157,3047,3076,3116,4633,1028,3364,20,4,10,JUNGLE,0,3,1,738,141964,12638,14899,1,100,0,1,0,0,0,13,7,0,23386,2457,18127,546,0,0,NONE,0,134,35,58,8,4,6,16,11,69,slayer56429,False,200,JUNGLE,18,1770,191547,17276,0,33949,9048,0,84,513,126,1,0,26195,2180,922,0,1,11,0,1,21,3,3,3,False,NA1_4495212794
0,17,3,0,0,0,0,7957,11,81,Ezreal,0,7,8,0,7135,0,8014,0,6,3,0,0,True,6,0,False,True,False,False,False,True,2,8007,7908,0,BOTTOM,0,0,0,3042,3078,3057,0,0,3158,3340,22,0,3,BOTTOM,0,0,1,678,8050,4176,3798,0,4,0,0,0,0,0,0,4,0,67754,11043,10474,546,0,0,CARRY,0,183,29,21,8,4,4,4,7,69,slayer56429,False,100,BOTTOM,0,1580,80434,15279,0,14938,1096,384,129,2,151,3,0,4630,60,665,0,0,6,0,0,15,3,0,8,False,NA1_4494808885
0,2,12,0,0,0,1,11531,14,81,Ezreal,0,3,6,8257,13707,8257,6248,0,1,2,1,1,True,2,2,False,False,False,True,False,True,8,12370,10433,0,BOTTOM,1,1,0,2140,3078,3508,3158,0,3042,3340,20,1,4,BOTTOM,558,3,2,1096,18069,5788,2728,0,28,0,0,0,0,0,6,9,0,115811,14992,9202,546,0,0,CARRY,0,234,56,38,9,2,4,2,7,68,slayer56429,False,200,BOTTOM,2,1618,140200,21169,0,13132,1318,206,156,47,33,2,0,6320,388,1202,5,6,1,0,0,20,3,2,9,True,NA1_4494762467
2,20,11,0,0,0,3,10232,13,59,JarvanIV,0,2,4,5538,28537,5538,15844,0,4,2,0,1,True,0,1,False,False,False,False,False,False,6,9814,9025,0,JUNGLE,0,0,0,6630,3156,2055,1038,0,3111,3364,18,2,6,JUNGLE,0,3,1,393,7524,851,8145,0,92,0,0,1,0,0,8,2,0,97184,9191,10919,546,0,0,NONE,0,82,52,66,6,4,4,13,11,68,slayer56429,False,100,JUNGLE,20,1297,129795,11060,0,19603,3484,0,22,385,79,1,0,25086,1016,538,2,4,1,0,0,10,3,0,3,True,NA1_4494725149
0,7,17,0,0,0,1,15608,16,82,Mordekaiser,0,7,6,1180,23297,1180,52288,0,4,2,1,1,True,2,0,False,False,False,False,False,True,28,13827,11850,0,JUNGLE,0,0,0,3157,3047,2055,3116,6662,1026,3364,22,2,9,JUNGLE,0,5,2,590,138202,15947,13860,0,120,0,0,0,0,0,13,2,0,28103,4012,20873,546,0,0,NONE,0,134,56,69,8,4,6,16,11,68,slayer56429,False,100,JUNGLE,22,1799,200731,22399,0,36821,7909,0,36,1183,150,1,0,34424,2438,2086,0,1,6,0,0,24,4,2,3,True,NA1_4494677259
1,10,15,0,1,0,1,14513,15,154,Zac,0,2,7,1094,39023,1094,50158,0,2,3,0,2,True,2,3,False,False,False,False,False,False,24,12999,12260,1,JUNGLE,0,2,0,3075,3047,0,3068,0,6665,3364,22,1,4,JUNGLE,0,2,1,1153,118242,15040,5587,0,127,1,0,1,0,0,7,7,0,28584,1666,24356,546,0,0,NONE,0,65,249,94,8,5,4,18,11,68,slayer56429,False,200,JUNGLE,42,2163,195603,18505,0,33582,36939,0,24,402,82,1,0,48775,1798,3638,0,4,3,0,0,30,3,0,4,True,NA1_4494626041
2,14,9,0,1,0,2,11061,13,154,Zac,0,3,3,351,28033,351,36432,0,2,1,2,1,True,0,1,False,False,False,False,False,True,6,11487,10160,0,JUNGLE,0,0,0,3068,3111,6665,1026,1052,1011,3364,15,2,8,JUNGLE,0,5,2,765,93456,11386,8069,1,112,0,0,0,0,0,7,7,0,26504,1002,20531,546,0,0,NONE,0,58,225,74,9,3,4,14,11,68,slayer56429,False,200,JUNGLE,31,1592,156274,13996,0,32331,31207,0,26,386,48,1,0,36311,1607,3731,0,1,3,0,0,21,1,4,6,True,NA1_4494585210
1,8,4,0,0,0,0,14138,15,154,Zac,0,2,5,1700,29999,1700,40542,0,1,1,1,5,True,0,0,False,False,False,False,False,False,5,13682,12350,0,JUNGLE,0,0,0,3076,3047,2055,3068,6665,4637,3364,18,1,10,JUNGLE,0,10,2,1669,121922,14278,3286,0,140,0,0,1,0,0,14,2,0,29158,882,21337,546,0,0,NONE,0,62,234,78,9,3,4,13,11,68,slayer56429,False,100,JUNGLE,24,1791,189899,16229,0,26845,34216,0,35,521,47,1,0,38818,1069,2221,0,2,2,0,0,23,2,3,2,True,NA1_4494220264
3,13,2,0,0,0,4,8071,11,82,Mordekaiser,0,1,3,744,39307,744,15928,0,1,2,0,2,True,2,0,False,False,False,False,False,True,10,8490,5185,0,JUNGLE,0,0,0,0,3047,3116,1052,1028,0,3364,13,1,5,JUNGLE,0,4,1,636,80934,6409,4421,0,96,0,0,0,0,0,7,7,0,19364,1751,12216,546,0,0,NONE,0,85,21,38,4,3,6,11,11,68,slayer56429,False,200,JUNGLE,7,1215,133020,8992,0,16986,1630,0,11,229,21,1,0,32722,831,348,0,2,0,0,0,13,2,1,3,True,NA1_4494193396
0,1,1,0,0,0,3,7382,11,82,Mordekaiser,0,3,3,629,21752,629,10916,0,1,1,0,2,True,1,0,False,False,False,False,False,True,8,7640,5650,0,JUNGLE,0,0,0,0,3047,2055,3116,4635,0,3364,13,1,3,NONE,0,3,1,352,67284,2712,2146,0,104,0,0,0,0,0,5,7,0,16798,702,9283,546,0,0,SUPPORT,0,73,18,35,2,1,6,7,11,68,slayer56429,False,200,JUNGLE,3,1027,110354,3569,0,11635,1109,0,11,260,12,1,0,26271,154,206,2,2,0,0,0,11,2,1,2,True,NA1_4494184988
2,5,3,0,0,0,0,9243,12,203,Kindred,0,5,4,0,16376,0,9009,0,4,2,0,1,True,0,0,False,False,False,False,False,True,5,7873,7100,0,JUNGLE,0,0,0,3051,3006,6672,1037,2055,0,3364,18,0,0,JUNGLE,420,0,0,577,21352,2618,5612,0,107,0,0,0,0,0,7,7,0,91882,6339,12868,546,0,0,NONE,0,100,35,31,4,2,4,9,11,68,slayer56429,False,200,JUNGLE,3,1469,143078,9830,0,19058,4869,1744,55,122,121,9,0,29843,872,576,0,0,5,0,0,22,3,4,3,False,NA1_4494161766
2,8,12,0,0,0,0,18660,18,82,Mordekaiser,0,7,13,872,29818,872,78885,0,10,4,0,2,True,5,2,False,False,False,False,False,False,29,18098,19700,0,JUNGLE,0,0,0,3157,4637,3105,3116,3047,6662,3364,38,4,14,JUNGLE,40,3,1,475,153968,35944,36611,0,149,0,0,0,0,0,25,2,0,33642,7062,17355,546,0,0,NONE,0,161,38,78,12,7,6,19,11,68,slayer56429,False,100,JUNGLE,49,2680,228722,46689,0,59067,7495,0,30,1681,423,1,0,41111,3682,5100,0,2,4,0,0,49,8,5,5,True,NA1_4494130742
